,base_model,model,base_trace,trace,profiler,sim,suite,bench
parboil#bfs,17548,407,837,2289,1057,155368,parboil,bfs
parboil#cutcp,3046,300,22460,73283,443,929441,parboil,cutcp
parboil#histo,7655,1777,4824,15236,2483,420468,parboil,histo
parboil#lbm,1118,2104,20979,31929,17278,2448234,parboil,lbm
parboil#mri-g,713,2024,58068,188268,36315,4656623,parboil,mri-g
parboil#mri-q,222,25,105596,392332,338,5078208,parboil,mri-q
parboil#sad,13541,5630,10479,27307,452,540474,parboil,sad
parboil#sgemm,1671,34,436,1146,264,20253,parboil,sgemm
parboil#stencil,8106,173,1493,3531,552,51094,parboil,stencil
polybench_gpu#2dconv,249,1159,2039,6038,231,177110,polybench_gpu,2dconv
polybench_gpu#3dconv,93,139,261,1196,4378,25123,polybench_gpu,3dconv
polybench_gpu#atax,17867,306,628,712,218,77895,polybench_gpu,atax
polybench_gpu#corr,117297,3407,13496,24687,38667,804807,polybench_gpu,corr
polybench_gpu#covar,45555,1077,4322,7901,38663,253805,polybench_gpu,covar
polybench_gpu#fdtd2d,334,3533,16725,41955,22559,1361159,polybench_gpu,fdtd2d
polybench_gpu#gemm,1960,1827,6852,11484,218,385544,polybench_gpu,gemm
polybench_gpu#gesummv,17341,188,220,882,218,66552,polybench_gpu,gesummv
polybench_gpu#syr2k,1733,1798,1839,4377,217,957204,polybench_gpu,syr2k
polybench_gpu#syrk,728,844,1042,3090,218,173132,polybench_gpu,syrk
