,base_model,model,model_compare,base_trace,trace,profiler,sim,opt_break_trace_off,suite,bench
parboil#bfs,17548,407,429,837,2289,1057,155368,429,parboil,bfs
parboil#cutcp,3046,300,25,22460,73283,443,929441,25,parboil,cutcp
parboil#histo,7655,1777,171,4824,15236,2483,420468,171,parboil,histo
parboil#lbm,1118,2104,6,20979,31929,17278,2448234,6,parboil,lbm
parboil#mri-g,713,2024,36,58068,188268,36315,4656623,36,parboil,mri-g
parboil#mri-q,222,25,12,105596,392332,338,5078208,12,parboil,mri-q
parboil#sad,13541,5630,61,10479,27307,452,540474,61,parboil,sad
parboil#sgemm,1671,34,24,436,1146,264,20253,24,parboil,sgemm
parboil#stencil,8106,173,168,1493,3531,552,51094,168,parboil,stencil
polybench_gpu#2dconv,249,1159,11,2039,6038,231,177110,11,polybench_gpu,2dconv
polybench_gpu#3dconv,93,139,7,261,1196,4378,25123,7,polybench_gpu,3dconv
polybench_gpu#atax,17867,306,394,628,712,218,77895,394,polybench_gpu,atax
polybench_gpu#corr,117297,3407,1833,13496,24687,38667,804807,1833,polybench_gpu,corr
polybench_gpu#covar,45555,1077,591,4322,7901,38663,253805,591,polybench_gpu,covar
polybench_gpu#fdtd2d,334,3533,19,16725,41955,22559,1361159,19,polybench_gpu,fdtd2d
polybench_gpu#gemm,1960,1827,24,6852,11484,218,385544,24,polybench_gpu,gemm
polybench_gpu#gesummv,17341,188,184,220,882,218,66552,184,polybench_gpu,gesummv
polybench_gpu#syr2k,1733,1798,95,1839,4377,217,957204,95,polybench_gpu,syr2k
polybench_gpu#syrk,728,844,45,1042,3090,218,173132,45,polybench_gpu,syrk
